局数,龙,和,虎,赢
45,1200,0,5700,虎
46,6000,0,3000,虎
47,6300,0,4400,龙
48,2000,0,2800,龙
49,2000,4100,4000,虎
50,4000,3200,3000,虎
51,3000,1000,4500,龙
52,6200,1000,4000,龙
53,5600,1000,2000,龙
54,9800,1500,12100,虎
55,8000,4200,2500,龙
56,10000,0,6000,龙
57,6000,2700,7100,虎
58,1000,0,1100,龙
59,1000,0,4800,龙
60,4000,0,1000,虎
61,5400,0,1100,虎
62,12100,0,11300,虎
63,5200,0,1700,龙
64,2500,0,8100,龙
65,13000,0,1900,虎
66,13700,0,7000,虎
67,1100,0,4000,龙
68,51300,600,1000,虎
69,1000,0,69000,虎
70,2000,0,44200,虎
71,2000,0,31900,龙
72,55000,0,4200,虎
73,3500,0,52700,虎
74,13700,0,1100,虎
75,1000,0,3400,和
76,38300,0,1000,龙
77,62000,0,31100,和
78,87200,0,19000,虎
79,1000,0,36000,虎
80,1400,1600,1000,龙
81,1100,0,1000,虎
82,1200,0,2100,虎
83,1400,0,1100,虎
84,5300,0,1200,虎
85,21200,0,1100,虎
86,102000,0,1000,龙
87,3200,0,1100,和
88,2700,0,3000,虎
89,3700,0,2500,虎
90,4100,0,3300,龙
91,7100,0,6600,虎
92,8600,0,1400,龙
93,3200,0,2900,龙
94,2700,0,8100,虎
95,1000,0,1000,龙
96,2800,0,1300,虎
97,1400,0,1100,和
98,1000,200,1100,龙
99,1000,0,1000,虎
100,1100,400,3400,虎
101,1200,0,1100,龙
102,1200,900,4000,龙
103,1300,200,1700,龙
104,1100,0,2200,龙
105,4300,0,2700,虎
106,2000,200,3000,龙
107,3000,0,1000,虎
108,1500,0,3600,龙
109,1700,2400,1600,虎
110,4500,1200,1100,龙
111,2800,200,2800,和
112,12800,500,3100,虎
113,2400,0,1000,龙
114,3200,200,8700,龙
115,3800,0,34200,和
116,2800,0,110800,虎
117,4900,300,2900,虎
118,1100,0,6700,龙
119,3100,100,1200,虎
120,1700,800,22600,虎
121,3500,300,3700,虎
122,3000,400,1300,虎
123,1500,0,1500,龙
124,3800,700,1300,虎
125,1100,100,1900,龙
126,1100,0,1400,龙
127,1100,700,2600,龙
128,1100,300,2100,虎
129,2000,0,1800,龙
130,1000,0,3600,虎
131,2100,400,5000,龙
132,2000,300,4700,虎
133,4800,200,1500,龙
134,1600,100,7900,龙
135,2400,0,2100,虎
136,5500,0,2300,和
137,1900,100,1300,虎
138,1700,0,1000,虎
139,4600,0,1000,和
140,604800,200,1300,虎
141,2300,0,902300,和
142,2600,0,401300,虎
143,2400,100,1300,龙
144,5000,0,1400,虎
145,2200,300,1300,龙
146,2400,200,1003600,龙
147,4200,0,2600,和
148,3300,1400,102400,龙
149,2000,0,4300,龙
150,3100,0,4000,龙
151,1200,0,3100,虎
152,2100,200,1300,龙
153,2100,0,2000,龙
154,2500,0,1400,龙
155,4800,0,1000,龙
156,2000,200,1100,虎
157,1000,0,102800,龙
158,3000,0,505200,龙
159,1500,0,106200,龙
160,2000,0,203300,虎
161,1000,0,6000,龙
162,1400,0,1000,虎
163,1000,0,181000,虎
164,1000,0,2000,虎
165,1300,0,2000,虎
166,2200,0,2300,虎
167,1500,1000,1300,虎
168,2600,0,1800,虎
169,2900,0,2200,虎
170,1500,0,3000,虎
171,1300,0,4900,虎
172,1000,0,8700,虎
173,1000,100,1000,和
174,1100,0,1300,虎
175,2000,300,3000,龙
176,1900,200,1600,龙
177,2100,0,1000,虎
178,1000,0,1600,虎
179,2000,200,1000,虎
180,1000,0,1000,龙
181,1800,0,1000,龙
182,1000,0,4600,虎
183,1900,0,1100,虎
